Start time,End time,Activity,Presenter,Location
 8:30 AM, 9:00 AM,Coffee & Social,-,Main room
 9:00 AM, 10:00 AM,Keynote: Mapping Prejudice: The Process is the Product,Michael,Main room
 10:00 AM, 11:00 AM,Concurrent session: Tour of the Cavern Archives,-,Andersen Library
"""","""",Concurrent session: Cross the bridge to visit Weisman Museum,-,Weisman Art Museum
 11:00 AM, 11:30 AM,Break,-,Main room
 11:30 AM, 12:00 PM,Panel: OpenGeoMetadata,"Karen, Kim, Adam",Main room
 12:00 PM, 12:30 PM,Unconference pitches,-,Main room
 12:30 PM, 1:30 AM,Lunch,-,Main room
 1:30 PM, 3:00 PM,Data rescue strategy / ArcGIS Hub Harvesting,-,Breakout Room 1
"""","""",Robot Spam,-,Room 308
 3:00 PM, 3:30 PM,Break,-,Main room
 3:30 PM, 4:30 PM,"Who stays, who goes!? Tech & Academic Side of GeoBlacklight Need Curation Advice",-,Breakout Room 1
"""","""",Planning GLAMgeo community meetings,-,Room 308
 4:30 PM, 5:00 PM,Group Discussion,-,Main room
5:30 PM,-,Happy Hour,-,Palmer's Bar